age,annual_income,debt_ratio,prior_defaults,employment_years,education_level,good_credit
41,34772,0.405,0,2,0,0
53,43140,0.084,3,13,0,0
36,26889,0.546,0,26,0,1
58,23108,0.569,3,1,0,0
23,87963,0.823,2,13,0,0
56,104391,0.213,4,18,0,1
44,27770,0.543,0,18,0,0
55,71045,0.75,3,18,1,0
44,54291,0.274,1,22,0,1
52,60020,0.707,2,19,0,0
28,82100,0.426,2,4,1,0
25,115213,0.552,2,10,1,1
59,80100,0.572,3,2,0,0
63,23519,0.105,5,9,1,0
39,108929,0.397,5,11,0,0
60,30347,0.494,1,24,1,0
29,111778,0.273,3,29,1,1
56,51416,0.845,3,27,1,0
66,69433,0.938,5,28,1,0
32,34830,0.259,1,0,1,0
58,38900,0.286,0,4,1,0
41,31448,0.671,4,30,0,0
50,117232,0.907,5,25,1,0
51,98137,0.41,1,2,0,1
49,36273,0.149,4,1,0,0
27,62659,0.602,0,27,0,1
60,64313,0.184,2,30,1,1
28,78972,0.944,3,15,1,0
40,26257,0.18,5,10,1,0
54,18027,0.235,4,11,0,0
65,86194,0.873,4,9,0,0
44,36894,0.37,1,17,1,0
61,44234,0.602,1,25,0,1
35,41203,0.516,2,23,0,0
22,118561,0.301,2,6,1,1
43,62793,0.122,0,7,1,1
33,59267,0.234,4,28,0,0
62,26112,0.801,0,29,1,1
66,113322,0.229,1,13,1,1
67,66883,0.467,5,30,0,0
67,35821,0.203,1,0,0,0
62,34159,0.6,4,15,1,0
30,86913,0.543,0,0,0,0
48,40533,0.794,1,0,1,0
34,53399,0.501,4,10,1,0
24,111983,0.368,3,21,1,1
53,32139,0.529,4,16,0,0
59,15515,0.748,1,5,0,0
51,96146,0.703,4,1,1,0
51,117796,0.749,4,1,0,0
33,51296,0.088,0,16,1,1
25,73097,0.343,4,19,0,0
65,51331,0.457,4,25,1,0
54,49025,0.881,1,26,1,1
29,69609,0.159,3,10,0,0
34,102749,0.323,0,28,0,1
66,99339,0.644,1,8,0,1
27,67200,0.846,1,21,0,0
31,107579,0.438,4,12,1,0
26,109653,0.379,2,17,1,1
49,107163,0.066,2,16,1,1
35,28733,0.126,2,1,0,0
38,114061,0.167,3,27,1,1
53,89789,0.495,2,2,1,1
24,119803,0.669,3,28,0,1
26,49151,0.125,1,2,1,0
28,74477,0.06,4,13,1,0
66,46252,0.894,1,8,0,0
32,41446,0.889,5,9,0,0
32,50457,0.362,0,8,0,1
21,17416,0.71,4,6,1,0
63,100210,0.439,3,17,1,1
53,55341,0.669,1,10,0,0
61,33313,0.414,2,1,0,0
21,24269,0.613,2,13,0,0
45,81314,0.653,2,19,0,1
65,53411,0.091,1,5,1,1
42,86706,0.341,0,30,1,1
34,61738,0.215,2,12,0,0
33,47529,0.504,0,2,1,0
26,33856,0.41,0,12,0,0
26,91753,0.912,1,21,1,1
69,57747,0.699,3,4,1,0
23,108717,0.853,5,13,0,0
54,113679,0.504,0,26,0,1
61,62278,0.914,3,26,1,0
56,21655,0.615,5,17,0,0
25,113076,0.889,4,2,0,0
68,111572,0.476,0,27,1,1
35,111970,0.635,3,15,1,1
25,77784,0.869,2,24,0,0
25,93604,0.183,2,20,1,1
60,89417,0.17,3,1,1,1
65,43533,0.658,2,22,1,1
50,76066,0.47,0,28,0,1
51,17294,0.311,0,26,1,1
38,65704,0.239,1,2,0,1
44,32380,0.593,5,16,1,0
28,107187,0.379,3,28,1,1
52,104337,0.456,2,23,0,1
47,60083,0.388,0,26,1,1
46,30734,0.896,1,22,0,0
68,52988,0.278,0,12,1,1
44,71105,0.73,0,8,0,1
24,101766,0.307,1,7,1,1
70,63935,0.757,3,28,0,0
69,97692,0.41,4,17,0,1
67,68855,0.456,1,20,1,1
52,21419,0.871,4,4,0,0
40,48520,0.715,5,8,1,0
62,46282,0.321,4,21,1,0
25,42246,0.501,3,17,0,0
49,58625,0.947,3,13,0,0
32,59820,0.55,2,7,1,0
37,89660,0.232,0,23,1,1
34,64396,0.293,0,15,1,1
57,62204,0.163,4,16,0,0
45,67396,0.631,3,30,1,1
22,31678,0.079,5,24,1,0
25,66317,0.887,4,27,1,0
49,47566,0.755,1,4,0,0
67,106881,0.633,3,2,0,1
21,117537,0.163,4,29,0,1
29,97113,0.277,5,13,0,0
27,24221,0.32,4,6,1,0
21,16371,0.534,3,8,1,0
62,46766,0.478,1,17,0,1
62,55291,0.1,1,15,1,1
26,48719,0.255,3,29,1,0
42,109153,0.429,5,12,0,0
21,119472,0.313,4,2,0,0
70,40419,0.258,1,8,1,1
27,96736,0.496,1,28,0,1
24,92961,0.182,3,1,0,0
22,93135,0.178,0,22,0,1
66,56182,0.709,0,29,0,1
42,39993,0.217,4,23,1,0
45,64005,0.936,3,5,0,0
21,25255,0.302,2,13,0,0
45,61744,0.742,2,26,1,0
26,21456,0.685,1,11,1,0
51,18969,0.618,1,25,1,0
23,64226,0.081,0,25,0,1
59,59442,0.377,2,30,0,1
37,112837,0.695,2,29,1,1
59,98097,0.902,0,0,0,1
27,77283,0.694,3,30,1,0
52,32394,0.885,1,0,1,0
65,116293,0.186,1,10,1,1
59,25356,0.511,3,24,0,0
36,68445,0.108,0,15,1,1
27,24458,0.288,0,6,0,0
47,80336,0.94,3,5,0,0
64,45793,0.723,5,24,0,0
70,53525,0.314,4,8,1,0
49,47431,0.217,1,4,1,1
58,39674,0.344,3,8,0,0
27,100632,0.468,0,3,0,1
51,45292,0.807,2,1,1,0
59,91440,0.225,0,11,0,1
49,94041,0.284,5,30,0,1
60,60835,0.246,2,10,0,1
23,41735,0.95,0,19,0,0
47,103908,0.385,4,9,0,0
34,19124,0.766,4,15,0,0
63,87107,0.189,4,2,0,0
46,106148,0.294,2,21,1,1
68,89254,0.845,3,13,0,1
70,62681,0.63,3,23,1,1
31,70542,0.152,0,12,1,1
50,116325,0.196,0,1,0,1
26,90086,0.61,2,23,0,0
30,60605,0.305,4,5,0,0
33,54533,0.164,0,29,1,1
41,21995,0.597,5,12,0,0
31,98928,0.757,1,19,1,1
60,40704,0.796,1,18,0,1
31,65276,0.373,1,7,0,1
23,88707,0.808,5,1,1,0
56,97187,0.75,5,13,1,0
58,47670,0.433,5,11,1,0
21,96119,0.938,3,7,1,0
69,96077,0.752,3,26,0,1
